common_word_cnt,common_nonstop_word_cnt,char_cnt_1,char_cnt_2,char_cnt_diff,word_cnt_1,word_cnt_2,word_cnt_diff,len_q1,len_q2,diff_len,common_noun_cnt,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,cosine_distance,euclidean_distance
1,0,54,47,49,9,8,1,54,47,49,0,36,46,38,100,43,48,44,3.496,0.682,1.168
1,0,33,47,196,7,8,1,33,47,196,0,38,38,42,100,38,38,33,3.284,0.553,1.051
0,0,33,47,196,7,8,1,33,47,196,0,38,44,45,47,47,46,46,3.435,0.702,1.185
0,0,67,47,400,13,8,25,67,47,400,0,41,41,43,48,48,41,41,3.325,0.612,1.106
1,0,46,47,1,10,8,4,46,47,1,0,51,51,50,100,48,48,46,3.395,0.636,1.127
2,1,36,47,121,8,8,0,36,47,121,0,42,47,47,100,43,49,42,2.082,0.3,0.775
0,0,62,47,225,9,8,1,62,47,225,0,40,40,43,43,43,40,40,3.212,0.676,1.163
2,0,27,47,400,6,8,4,27,47,400,0,56,86,63,100,62,56,56,3.289,0.655,1.145
1,0,35,47,144,8,8,0,35,47,144,0,50,50,54,100,45,40,40,3.343,0.513,1.013
2,1,65,47,324,12,8,16,65,47,324,0,44,45,47,100,46,47,45,2.981,0.513,1.013
0,0,34,47,169,7,8,1,34,47,169,0,35,39,44,48,48,41,41,3.584,0.603,1.098
