common_word_cnt,common_nonstop_word_cnt,char_cnt_1,char_cnt_2,char_cnt_diff,word_cnt_1,word_cnt_2,word_cnt_diff,len_q1,len_q2,diff_len,common_noun_cnt,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,cosine_distance,euclidean_distance
2,0,54,23,961,9,5,16,54,23,961,0,37,86,52,100,41,40,40,3.596,0.702,1.185
2,0,33,23,100,7,5,4,33,23,100,0,41,42,52,100,36,44,30,3.673,0.749,1.224
0,0,33,23,100,7,5,4,33,23,100,0,41,41,43,41,41,37,37,3.701,0.759,1.232
0,0,67,23,1936,13,5,64,67,23,1936,0,27,45,52,45,45,30,30,3.653,0.703,1.186
0,0,46,23,529,10,5,25,46,23,529,0,36,40,43,41,45,41,39,3.816,0.824,1.284
0,0,36,23,169,8,5,9,36,23,169,0,35,38,43,45,45,42,42,3.387,0.65,1.14
0,0,62,23,1521,9,5,16,62,23,1521,0,37,40,48,45,45,34,34,3.626,0.787,1.255
1,0,27,23,16,6,5,1,27,23,16,0,38,48,39,100,48,50,42,3.498,0.653,1.143
0,0,35,23,144,8,5,9,35,23,144,0,39,45,48,41,41,39,39,3.811,0.726,1.205
3,1,65,23,1764,12,5,49,65,23,1764,0,40,86,65,100,50,67,40,3.518,0.638,1.13
0,0,34,23,121,7,5,4,34,23,121,0,40,40,39,36,36,36,36,3.963,0.739,1.216
2,1,47,23,576,8,5,9,47,23,576,0,41,86,57,100,50,50,47,3.503,0.659,1.148
0,0,73,23,2500,12,5,49,73,23,2500,0,30,40,48,45,45,33,33,3.419,0.659,1.148
0,0,31,23,64,6,5,1,31,23,64,0,35,35,43,36,36,35,35,3.745,0.744,1.22
1,0,44,23,441,9,5,16,44,23,441,0,37,86,52,100,50,40,40,3.785,0.801,1.266
0,0,40,23,289,9,5,16,40,23,289,0,36,45,48,42,42,39,39,3.577,0.737,1.214
0,0,26,23,9,6,5,1,26,23,9,0,30,30,35,32,32,30,30,3.857,0.756,1.229
0,0,90,23,4489,17,5,144,90,23,4489,0,25,40,48,45,45,27,27,3.545,0.729,1.208
1,0,71,23,2304,12,5,49,71,23,2304,0,30,86,39,100,50,33,33,3.467,0.761,1.234
0,0,72,23,2401,9,5,16,72,23,2401,0,34,37,39,36,36,28,28,3.78,0.764,1.236
0,0,40,23,289,7,5,4,40,23,289,0,33,33,39,36,36,36,36,3.588,0.71,1.192
0,0,48,23,625,8,5,9,48,23,625,0,36,43,43,50,50,47,45,3.599,0.766,1.237
1,1,42,23,361,7,5,4,42,23,361,1,54,86,65,100,64,54,54,3.248,0.584,1.081
