common_word_cnt,common_nonstop_word_cnt,char_cnt_1,char_cnt_2,char_cnt_diff,word_cnt_1,word_cnt_2,word_cnt_diff,len_q1,len_q2,diff_len,common_noun_cnt,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,cosine_distance,euclidean_distance
4,3,57,54,9,9,9,0,57,54,9,2,64,71,65,100,68,75,66,1.756,0.309,0.786
1,1,33,54,441,6,9,9,33,54,441,0,47,86,48,100,47,52,47,3.716,0.681,1.167
1,0,40,54,196,8,9,1,40,54,196,0,39,39,45,100,38,39,35,3.965,0.731,1.209
4,3,57,54,9,9,9,0,57,54,9,2,64,71,65,100,68,75,66,1.756,0.309,0.786
0,0,25,54,841,4,9,25,25,54,841,0,36,41,48,38,38,34,34,3.481,0.641,1.132
1,0,46,54,64,9,9,0,46,54,64,0,37,43,41,100,40,45,43,3.899,0.709,1.191
0,0,52,54,4,9,9,0,52,54,4,0,40,40,43,40,40,42,42,3.975,0.812,1.274
1,0,43,54,121,9,9,0,43,54,121,0,44,44,47,100,36,42,36,3.726,0.67,1.158
1,1,33,54,441,6,9,9,33,54,441,0,47,86,48,100,47,52,47,3.716,0.681,1.167
3,0,58,54,16,12,9,9,58,54,16,0,45,45,46,100,42,43,40,3.244,0.551,1.05
1,1,33,54,441,6,9,9,33,54,441,0,47,86,48,100,47,52,47,3.716,0.681,1.167
3,1,41,54,169,8,9,1,41,54,169,0,54,54,51,100,40,47,37,3.8,0.662,1.15
